id;primary_source;primary_amount;pecondary_source;pecondary_amount
1;mesh SSL;81209;Turkey hacking granular;29905
2;payment;62170;haptic;48375
3;transmitting Versatile;57239;holistic;34042
4;Ergonomic Metal Ball;44293;Auto Loan Account;54926
5;virtual;9774;plum deposit ubiquitous;83852
6;Tasty Persistent hack;15785;Regional Buckinghamshire system;65297
7;Shoes deposit;39106;Heard Island and McDonald Islands;58894
8;Timor-Leste;10301;Nakfa Total;66438
9;Crescent Ergonomic Innovative;53819;Park Buckinghamshire;19015
10;Utah;77022;hardware Configuration;46604
