id;primary_source;primary_amount;pecondary_source;pecondary_amount
1;Cotton;346;Sleek Granite Shirt Rhode Island Credit Card Account;49066
2;wireless payment;49233;British Indian Ocean Territory (Chagos Archipelago);46583
3;backing up;76616;Team-oriented quantify Dominican Republic;46078
4;Awesome Fresh Soap PNG;96373;tangible withdrawal Bike;78387
5;Infrastructure indigo;50762;Tennessee 1080p Rapids;25413
6;intangible Computer Jewelery;53801;Buckinghamshire;82278
7;24/365 Roads;69430;Hat Human experiences;64415
8;Drive;83644;Garden;34801
9;systems primary;11615;National Mobility payment;44441
10;deposit;43794;Auto Loan Account;8765
