id;amount;currency;beneficiary_relationship;purpose_of_transfer;transaction_type;payment_details
1;53698;Massachusetts Health;Gorgeous Soft Pants;Gorgeous Steel Towels;Fresh;Communications next generation
2;66871;Fantastic;silver;Avon parallelism;Small Concrete Gloves;Kids
3;72581;teal seize budgetary management;efficient Mews New Israeli Sheqel;initiatives;Chips;Arkansas Fantastic Granite Cheese deploy
4;96579;backing up Avon;sky blue Small;Sleek Berkshire Human;Arizona Investment Account;models
5;83249;green;connecting;Qatar orange open-source;visualize Rubber Convertible Marks;Applications
6;26575;Centralized Accountability;Licensed Principal Bedfordshire;Money Market Account;Barbados Dollar;Dynamic invoice
7;76057;Canadian Dollar Borders solid state;application brand;drive bifurcated;capacitor Intranet;Sleek Frozen Chips driver deposit
8;37202;SSL Tennessee Berkshire;1080p;envisioneer Saudi Riyal;Beauty quantify;Sports
9;45889;Director mesh;Pizza Personal Loan Account Borders;web-enabled Senior 24 hour;withdrawal leading-edge payment;Sports
10;18966;Auto Loan Account Silver District;Louisiana Generic Manager;Road New Hampshire robust;Ergonomic firewall Personal Loan Account;programming reboot utilize
