id;amount;currency;narative_line_1;narative_line_2
1;30783;Cheese upward-trending;JSON;enable
2;21168;Shoes violet;Table Philippines;transitional Games Colorado
3;72849;users firewall indexing;TCP Unbranded withdrawal;object-oriented Checking Account
4;26964;Intelligent Steel Fish Virtual payment;Northern Mariana Islands New York;Orchestrator Data Robust
5;26;primary Clothing;Reverse-engineered;Granite turn-key
6;583;Strategist Maine Hong Kong;pink dynamic;Freeway Dynamic Unbranded
7;18338;utilisation;Car Inlet connect;bluetooth SCSI
8;791;portals;withdrawal;Credit Card Account
9;92032;Greens Soap Qatari Rial;Frozen Auto Loan Account Steel;analyzer Distributed
10;47298;exploit enterprise;Global Guyana Dollar;Generic capability
